date,accum_num,num
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,1,1
2020-02-19,11,10
2020-02-20,51,40
2020-02-21,55,4
2020-02-22,169,114
2020-02-23,309,140
2020-02-24,456,147
2020-02-25,501,45
2020-02-26,597,96
2020-02-27,731,134
2020-02-28,840,109
2020-02-29,1557,717
2020-03-01,2113,556
2020-03-02,2418,305
2020-03-03,2678,260
2020-03-04,2991,313
2020-03-05,3453,462
2020-03-06,3919,466
2020-03-07,4298,379
2020-03-08,4483,185
2020-03-09,4671,188
2020-03-10,4709,38
2020-03-11,4723,14
2020-03-12,4760,37
2020-03-13,4781,21
2020-03-14,5016,235
2020-03-15,5016,0
2020-03-16,5016,0
2020-03-17,5020,4
2020-03-18,5020,0
2020-03-19,5028,8
2020-03-20,5029,1
2020-03-21,5037,8
2020-03-22,5050,13
2020-03-23,5054,4
2020-03-24,5065,11
2020-03-25,5081,16
2020-03-26,5082,1
2020-03-27,5082,0
2020-03-28,5092,10
2020-03-29,5092,0
2020-03-30,5164,72
2020-03-31,5165,1
2020-04-01,5173,8
2020-04-02,5175,2
2020-04-03,5177,2
2020-04-04,5177,0
2020-04-05,5207,30
2020-04-06,5208,1
2020-04-07,5209,1
2020-04-08,5209,0
2020-04-09,5210,1
2020-04-10,5210,0
2020-04-11,5210,0
2020-04-12,5210,0
2020-04-13,5210,0
2020-04-14,5211,1
2020-04-15,5211,0
2020-04-16,5211,0
2020-04-17,5211,0
2020-04-18,5212,1
2020-04-19,5212,0
2020-04-20,5212,0
2020-04-21,5212,0
2020-04-22,5212,0
2020-04-23,5212,0
2020-04-24,5212,0
2020-04-25,5212,0
2020-04-26,5212,0
2020-04-27,5212,0
2020-04-28,5212,0
2020-04-29,5212,0
2020-04-30,5212,0
2020-05-01,5212,0
2020-05-02,5212,0
2020-05-03,5212,0
2020-05-04,5212,0
2020-05-05,5212,0
2020-05-06,5212,0
2020-05-07,5212,0
2020-05-08,5212,0
2020-05-09,5212,0
2020-05-10,5212,0
2020-05-11,5212,0
2020-05-12,5212,0
2020-05-13,5212,0
2020-05-14,5212,0
2020-05-15,5212,0
2020-05-16,5212,0
2020-05-17,5212,0
2020-05-18,5212,0
2020-05-19,5212,0
2020-05-20,5212,0
2020-05-21,5212,0
2020-05-22,5212,0
2020-05-23,5212,0
2020-05-24,5212,0
2020-05-25,5212,0
2020-05-26,5212,0
2020-05-27,5212,0
2020-05-28,5212,0
2020-05-29,5212,0
2020-05-30,5212,0
2020-05-31,5212,0
